cost,similarityEdgesAvg,similarityNodesAvg,similarityEdgesBest,similarityNodesBest
48450,41.408,81.425,48.0,82.0
48451,42.004,82.22,51.0,84.0
48452,43.036,84.1515,51.0,87.5
48453,39.111,81.466,49.0,83.0
48454,44.585,84.587,47.0,86.0
48456,44.083,83.416,50.0,85.0
48458,42.854,83.296,46.0,83.0
48459,43.974,83.274,53.0,86.0
48461,42.88,82.222,52.0,83.0
48463,43.886,83.352,46.0,81.0
48467,43.724000000000004,83.346,42.0,82.5
48479,43.092,82.976,47.0,84.0
48482,44.085,83.935,49.0,86.0
48486,43.695,83.458,53.0,83.0
48489,42.121,82.892,45.0,84.0
48491,45.494,83.783,53.0,85.0
48495,43.087,81.9855,49.0,83.0
48496,42.418,82.833,51.0,85.0
48499,41.025,82.504,43.0,83.0
48503,42.076,84.187,45.0,84.0
48504,42.991,83.05,41.0,83.0
48506,45.952,84.616,46.0,86.0
48507,42.38,84.188,40.0,86.0
48509,42.759,82.159,52.0,84.0
48510,44.242,85.107,42.0,85.0
48512,43.13,82.58,54.0,83.0
48513,42.393,82.4,43.0,83.0
48523,44.021,83.05,51.0,87.0
48526,40.884,84.194,53.0,86.0
48527,43.203500000000005,83.625,49.0,84.5
48529,44.753,83.27799999999999,56.0,83.5
48531,41.777,83.228,49.0,85.0
48532,41.294,82.556,46.0,84.0
48538,44.662,82.26,54.0,83.0
48545,41.016,82.855,46.0,85.0
48546,41.41166666666667,81.88933333333333,47.333333333333336,85.33333333333333
48549,43.848,83.322,50.0,85.0
48550,41.152,81.772,43.0,84.0
48552,43.192,84.115,45.0,85.0
48554,41.141000000000005,81.3965,41.0,82.5
48558,41.545,83.939,39.0,82.0
48559,43.287,82.744,45.0,82.0
48560,42.702,84.446,53.0,89.0
48562,41.481,83.08,41.0,81.0
48563,44.012,83.669,52.0,84.0
48573,42.304,83.77449999999999,51.5,85.5
48576,43.097,82.386,48.0,84.0
48578,43.977,83.451,48.0,85.0
48581,43.784,83.706,44.0,84.0
48582,43.377,84.049,45.0,82.0
48583,40.643,80.998,48.0,86.0
48584,42.358,82.772,43.0,83.0
48585,44.801,83.591,54.0,85.0
48586,42.718,82.1645,46.0,83.5
48587,44.773,83.258,45.0,82.0
48588,40.341,82.306,44.0,82.0
48589,45.487,83.519,53.0,85.0
48598,43.744,81.992,56.0,86.0
48599,41.531,84.079,47.0,83.0
48601,43.539,83.79,52.0,85.0
48602,41.777,82.714,44.0,85.0
48605,43.119,83.338,46.5,84.0
48608,38.247,83.684,39.0,85.0
48611,43.775,85.576,43.0,85.0
48615,42.807,85.413,42.0,84.0
48616,43.243,83.166,47.0,83.0
48620,42.835,82.527,47.0,84.0
48623,43.627,82.054,56.0,85.0
48624,42.384,81.645,48.0,82.0
48628,43.26,80.93,53.0,83.0
48631,41.123,82.87,50.0,85.0
48635,45.421,84.026,50.0,86.0
48637,43.272,83.702,49.0,85.0
48639,41.274,82.231,49.0,82.0
48640,43.64,83.472,51.0,85.0
48643,41.056,82.222,49.0,85.0
48651,42.471,82.464,51.0,86.0
48653,43.21,81.616,48.0,82.0
48657,40.364,82.374,48.0,84.0
48662,43.12,80.83,47.0,82.0
48666,42.321,83.665,55.0,89.0
48667,44.575,83.083,48.0,83.0
48668,38.584,80.423,52.0,84.0
48672,43.725,83.923,48.0,86.0
48677,42.905,82.673,47.0,81.0
48678,42.745,82.912,49.0,85.0
48679,44.524,84.492,46.0,87.0
48683,40.462,82.35,46.0,84.0
48684,42.484,81.557,42.0,82.0
48690,45.197,85.3175,48.0,85.0
48691,43.672,84.086,47.0,85.0
48693,41.536,81.936,53.0,83.0
48699,42.714,83.713,39.0,83.0
48701,44.383,83.718,52.0,86.0
48702,41.357,81.333,45.0,83.0
48703,44.495,84.663,48.0,84.0
48704,43.509,83.786,50.0,85.0
48706,43.883,83.074,53.0,84.0
48708,42.824,83.314,54.0,85.0
48711,42.396,81.121,44.0,83.0
48714,45.792,83.51,49.0,85.0
48717,42.057,83.711,50.0,86.0
48718,41.31,81.974,46.0,84.0
48726,42.49633333333333,83.83833333333332,45.333333333333336,84.0
48730,43.75,82.655,53.0,83.0
48734,43.791,84.006,50.0,83.0
48737,42.469,82.881,44.0,84.0
48739,41.089,82.01,51.0,87.0
48741,43.477,84.631,46.0,85.0
48748,42.486,81.928,45.0,85.0
48749,42.2535,82.51599999999999,53.5,86.5
48750,43.218,82.173,49.0,87.0
48759,41.324,81.82,45.0,82.0
48760,43.179,84.4,42.0,83.0
48771,41.779,82.198,47.0,83.0
48773,40.384,82.513,50.0,86.0
48782,41.304,82.416,47.0,85.0
48800,42.084,82.161,48.0,83.0
48806,39.491,80.795,53.0,84.0
48808,42.2175,84.161,47.0,85.5
48812,41.323,83.109,50.0,88.0
48815,41.432,82.594,48.0,84.0
48816,43.017,82.018,43.0,83.0
48825,43.015,83.103,50.0,83.0
48830,43.555,82.403,49.0,83.0
48833,38.969,81.171,47.0,83.0
48837,42.017,81.245,53.0,85.0
48841,43.636,82.535,45.0,81.0
48842,42.541,82.375,43.0,82.0
48845,42.907,82.702,48.5,84.5
48852,42.586,83.155,43.0,83.0
48855,43.845,81.55,49.0,83.0
48857,42.164,81.582,50.0,83.0
48858,42.666,83.4,47.0,83.0
48863,42.04,82.2685,48.0,83.0
48868,42.5185,82.4675,49.5,83.0
48870,42.15,82.708,49.0,85.0
48871,41.092000000000006,82.45666666666666,50.333333333333336,85.33333333333333
48872,43.393,83.983,48.0,84.0
48873,40.959,82.517,43.0,84.0
48881,41.906,83.904,45.0,83.0
48883,41.089,80.688,53.0,82.0
48884,41.937,82.506,48.0,84.0
48885,42.775999999999996,83.001,42.0,83.0
48903,42.583,83.831,50.0,85.0
48906,43.542,82.459,46.0,85.0
48907,43.883,81.579,45.0,83.0
48909,41.191,82.053,48.0,82.0
48912,42.09,82.817,45.0,84.0
48915,41.321,83.634,42.0,81.0
48916,42.68,82.568,51.0,83.0
48922,40.555,83.525,42.0,83.0
48925,42.712,84.685,44.0,83.0
48928,41.27,82.106,45.0,86.0
48933,42.183,81.805,51.0,82.0
48934,42.535,83.75,41.0,82.0
48935,42.075,82.8355,51.0,84.0
48938,41.333,81.575,45.0,83.0
48941,42.522,82.397,53.0,84.0
48953,43.067,83.68,48.0,84.0
48955,45.645,82.746,52.0,84.0
48956,41.42,84.253,47.0,84.0
48957,42.7,82.087,48.0,82.0
48964,41.237,79.978,45.0,80.0
48965,42.188,83.337,48.0,86.0
48968,42.326,82.988,43.0,84.0
