cost,similarityEdgesAvg,similarityNodesAvg,similarityEdgesBest,similarityNodesBest
74019,45.929500000000004,88.2635,53.0,89.5
74022,44.701,86.825,55.0,88.0
74026,47.187,87.627,54.0,87.0
74029,44.548,87.845,58.0,91.0
74038,45.709,89.397,51.0,90.0
74040,43.726,87.086,44.0,88.0
74044,43.956,88.31,45.0,89.0
74055,45.611,87.725,57.0,89.0
74056,44.903499999999994,88.56200000000001,47.5,92.0
74057,43.784,87.236,51.0,90.0
74068,43.669,87.3935,47.5,88.5
74070,46.752,88.636,54.0,88.0
74075,45.582,87.008,48.5,87.5
74083,44.107,86.33,48.0,88.0
74088,45.993,88.998,48.0,90.0
74092,47.01,86.985,44.0,85.0
74099,44.714,88.4,53.0,88.0
74102,45.6525,88.386,51.0,89.5
74106,44.264,88.828,44.0,88.0
74107,44.302,87.199,52.0,87.0
74108,42.365,87.252,49.0,89.0
74113,44.752,88.77,45.0,88.0
74118,43.527,87.41,46.0,85.0
74125,42.849000000000004,87.7465,50.0,91.5
74127,44.214,88.574,53.0,89.0
74131,43.179500000000004,88.7245,49.0,90.5
74151,43.005,88.185,43.0,90.0
74152,44.103,88.39933333333333,47.0,88.0
74153,45.29,88.681,53.0,89.0
74169,46.162000000000006,87.81450000000001,49.5,89.5
74181,42.572,87.73,45.0,89.0
74184,44.178,88.095,47.0,90.0
74187,45.145,89.388,54.0,90.0
74193,42.069,88.113,46.0,90.0
74194,46.525,87.26,47.0,85.0
74196,43.163,87.543,43.0,88.0
74198,42.965,86.957,50.0,88.0
74205,45.211,87.891,54.0,89.0
74214,44.756,87.901,43.0,87.0
74215,41.185,87.58,40.0,89.0
74217,43.144,87.797,49.0,91.0
74219,43.247,86.782,50.0,89.0
74228,46.229,89.207,54.0,92.0
74229,45.453,88.869,46.0,91.0
74230,44.784,88.733,50.0,90.0
74233,41.47,88.358,43.0,89.0
74237,45.87,87.728,59.0,90.0
74241,45.317,88.53,56.0,89.0
74245,43.08233333333334,88.25633333333333,46.666666666666664,88.66666666666667
74248,44.141,87.484,50.0,87.0
74253,44.188,88.515,48.0,88.0
74261,45.519,86.626,52.0,88.0
74265,44.224,89.955,56.0,91.0
74267,43.117,87.175,41.0,86.0
74268,43.949,88.578,53.0,93.0
74277,42.634,86.911,43.0,86.0
74278,42.014,87.493,46.0,89.0
74285,42.661,88.529,50.0,91.0
74290,45.33,86.801,55.0,91.0
74291,43.083,86.781,45.0,86.0
74294,45.388,86.71,49.0,87.0
74296,43.534,86.704,49.0,86.0
74297,43.945,87.944,49.0,91.0
74299,43.32,88.207,46.0,88.0
74307,45.759,86.546,50.0,85.0
74309,42.361,87.891,44.0,88.0
74310,44.099000000000004,87.47200000000001,48.0,88.0
74311,43.224000000000004,87.011,50.0,88.0
74315,43.555,88.164,48.0,89.0
74322,44.027,88.02,51.0,90.0
74324,44.039,87.427,50.0,90.0
74325,44.558,88.511,48.0,87.0
74329,42.923,87.398,47.0,88.0
